source,target
B cells,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:B cell:marginal zone B cell:Be cell:B-1 B cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:B-2 B cell:Be1 Cell:Be2 cell:regulatory B cell"
Basal 1,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:bronchioalveolar stem cell:enterochromaffin-like cell:pericyte cell:embryonic stem cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell:blastemal cell:basophil:strial basal cell:|||:type III taste bud cell:type IV taste receptor cell:myoepithelial cell of lactiferous gland:basal proper cell of olfactory epithelium"
Basal 2,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:bronchioalveolar stem cell:pericyte cell:granulocyte monocyte progenitor cell:enterochromaffin-like cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:basal cell:blastemal cell:basophil:respiratory basal cell:|||:basal cell of urothelium:myoepithelial cell of lactiferous gland:myoepithelial cell of lactiferous alveolus:type IV taste receptor cell"
Ciliated 1,"fibroblast of lung:mesodermal cell:epithelial cell of lower respiratory tract:|||:ciliated cell:CD4-positive, alpha-beta intraepithelial T cell:type II pneumocyte:conventional dendritic cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multi-ciliated epithelial cell:brush cell:ciliated olfactory receptor neuron:ciliated epithelial cell:|||:single ciliated epithelial cell:ciliated cell of the bronchus:ciliated epithelial cell of esophagus:club cell"
Ciliated 2,"fibroblast of lung:mesodermal cell:epithelial cell of lower respiratory tract:|||:ciliated cell:CD4-negative CD8-negative gamma-delta intraepithelial T cell:type II pneumocyte:enterochromaffin-like cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:multi-ciliated epithelial cell:brush cell:ciliated olfactory receptor neuron:ciliated epithelial cell:|||:ciliated cell of the bronchus:single ciliated epithelial cell:club cell:ciliated epithelial cell of esophagus"
Club,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:adult endothelial progenitor cell:M cell of gut:embryonic stem cell:common lymphoid progenitor:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:club cell:enterochromaffin-like cell:basophil progenitor cell:placental villous trophoblast:|||:columnar cell of endocervix:enterocyte of epithelium of large intestine:endothelial cell of vascular tree:reticular cell"
Dendritic cells,"mesodermal cell:epithelial cell of lower respiratory tract:fibroblast of lung:|||:parafollicular cell:dendritic cell:dendritic cell, human:Tc1 cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:liver dendritic cell:dermal dendritic cell:mature conventional dendritic cell:adipose dendritic cell"
Endothelial,"mesodermal cell:epithelial cell of lower respiratory tract:fibroblast of lung:|||:endothelial cell:interlobulary artery endothelial cell:placental villus capillary endothelial cell:splenic endothelial cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:endo-epithelial cell:gut endothelial cell:endothelial tip cell:vein endothelial cell:|||:circulating endothelial cell:endothelial cell of arteriole:endothelial cell of venule:blood vessel endothelial cell"
Fibroblasts,"fibroblast of lung:mesodermal cell:epithelial cell of lower respiratory tract:|||:fibroblast:ooblast:iridoblast:splenic fibroblast:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:skin fibroblast:marrow fibroblast:fibroblast of dermis:fibroblast of arm"
Goblet 2,"mesodermal cell:bronchial epithelial cell:serous cell of epithelium of bronchus:brush cell of lobular bronchiole:|||:bronchial goblet cell:goblet cell:bronchus fibroblast of lung:type II pneumocyte:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:glioblast:ileal goblet cell:DN2 thymocyte:angioblastic mesenchymal cell:|||:intestinal villus goblet cell:respiratory goblet cell:pyloric gastric gland goblet cell:pancreatic goblet cell"
Goblet_1,"mesodermal cell:bronchial epithelial cell:brush cell of lobular bronchiole:serous cell of epithelium of bronchus:|||:bronchial goblet cell:bronchus fibroblast of lung:hematopoietic stem cell:endothelial cell of lymphatic vessel:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:goblet cell:glioblast:angioblastic mesenchymal cell:ooblast:|||:duodenal goblet cell:small intestine goblet cell:respiratory goblet cell:tracheal goblet cell"
Ionocytes,"bronchial epithelial cell:mesodermal cell:epithelial cell of tracheobronchial tree:serous cell of epithelium of bronchus:|||:ionocyte:oenocyte:monocyte:primordial germ cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:oncocyte:CD14-positive monocyte:oocyte:group 2 innate lymphoid cell, mouse"
Luminal_Macrophages,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:macrophage:central nervous system macrophage:pleural macrophage:alternatively activated macrophage:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:meningeal macrophage:peritoneal macrophage:microglial cell:inflammatory macrophage:|||:melanophage:thymic macrophage:mammotroph:thymic cortical macrophage"
Lymphatic,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:type I pneumocyte:type II pneumocyte:macrophage dendritic cell progenitor:megakaryocyte progenitor cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:lymphocyte:lymphangioblast:B cell:T cell:|||:dermis lymphatic vessel endothelial cell:fibroblast of lymphatic vessel:dermis microvascular lymphatic vessel endothelial cell:endothelial cell of lymphatic vessel"
Mast cells,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:T cell:mast cell:mucosal type mast cell:fat cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:connective tissue type mast cell:non-terminally differentiated cell:basket cell:M cell of gut"
Mesothelium,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:mesothelial cell:ameloblast:naive thymus-derived CD4-positive, alpha-beta T cell:alpha-beta intraepithelial T cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:meso-epithelial cell:endothelial cell:mesothelial cell of peritoneum:mesothelial cell of dura mater:|||:mesothelial cell of visceral peritoneum:mesothelial cell of anterior chamber of eye:mesothelial cell of visceral pleura:mesothelial cell of parietal pleura"
Neutrophils,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:neutrophil:neuron:band form neutrophil:Kolmer-Agduhr neuron:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:mature neutrophil:neutrophil progenitor cell:immature neutrophil:neuroblast (sensu Vertebrata)"
Smooth muscle,"mesodermal cell:fibroblast of lung:epithelial cell of lower respiratory tract:|||:smooth muscle cell:bronchial smooth muscle cell:mesenchymal stem cell:interlobulary artery smooth muscle cell:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:smooth muscle myoblast:aortic smooth muscle cell:ureter smooth muscle cell:uterine smooth muscle cell:|||:smooth muscle cell of the pulmonary artery:smooth muscle fiber of duodenum:smooth muscle fiber of ileum:smooth muscle cell of large intestine"
T and NK,"fibroblast of lung:mesodermal cell:epithelial cell of lower respiratory tract:|||:band form neutrophil:embryonic stem cell:adult endothelial progenitor cell:endothelial cell of lymphatic vessel:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:banded nucleus:hatching gland cell:type I NK T cell:pituitary gland cell:|||:Kit and Sca1-positive hematopoietic stem cell:pro-NK cell:neuron associated cell (sensu Nematoda and Protostomia):nasal and broncial associated lymphoid tissue macrophage"
Type 2 alveolar,"mesodermal cell:epithelial cell of lower respiratory tract:fibroblast of lung:|||:type II pneumocyte:plasmacytoid dendritic cell:type I pneumocyte:endothelial cell of lymphatic vessel:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II taste cell:type II muscle cell:type IIa muscle cell:type IIb muscle cell:|||:pigmented ciliary epithelial cell:paraganglia type 2 cell:type II vestibular sensory cell:type 2 vestibular sensory cell of stato-acoustic epithelium"
Type_1_alveolar,"mesodermal cell:epithelial cell of lower respiratory tract:fibroblast of lung:|||:adult endothelial progenitor cell:pericyte cell:oligodendrocyte:endothelial cell of lymphatic vessel:|||:cartwheel heterochromatin:naive T cell:gamma-delta intraepithelial T cell:CD8-alpha alpha positive, gamma-delta intraepithelial T cell:|||:type II pneumocyte:type I pneumocyte:mammary alveolar cell:preameloblast:|||:pigmented ciliary epithelial cell:non-pigmented ciliary epithelial cell:eosinophil progenitor cell:conventional dendritic cell"
